EPOCH,MAE,RMSE,ACCURACY,BEST ACCURACY,BEST MAE
0,1.3620569475999116,2.256502375898264,80.0,80.0,1.3620569475999116
1,1.306959920572051,2.2880172507352947,81.53846153846153,81.53846153846153,1.306959920572051
2,1.760385226188822,3.578798321298333,73.84615384615384,81.53846153846153,1.306959920572051
3,1.3209632684153023,2.1952091150948303,78.46153846153847,81.53846153846153,1.306959920572051
4,1.3021500602681586,2.2231752703285124,80.0,81.53846153846153,1.3021500602681586
5,1.2791430126690695,2.2047448710767186,75.38461538461539,81.53846153846153,1.2791430126690695
6,1.2606578108266735,2.026199798439752,83.07692307692308,83.07692307692308,1.2606578108266735
7,1.5441860024810683,2.5670646363352816,66.15384615384616,83.07692307692308,1.2606578108266735
8,7.641644784913841,10.419177835137925,43.07692307692308,83.07692307692308,1.2606578108266735
9,1.2516323336472748,1.9475549862014743,80.0,83.07692307692308,1.2516323336472748
10,1.8908357217802223,2.9124113991882443,60.0,83.07692307692308,1.2516323336472748
11,1.565463851867838,2.6281922150137547,63.07692307692308,83.07692307692308,1.2516323336472748
12,1.2612632027754547,2.103107572717094,80.0,83.07692307692308,1.2516323336472748
13,1.2107202937416996,2.0703558130444932,83.07692307692308,83.07692307692308,1.2107202937416996
14,1.1654703617095947,1.8523915141316893,81.53846153846153,83.07692307692308,1.1654703617095947
15,1.6531287056334476,2.6638102259517185,63.07692307692308,83.07692307692308,1.1654703617095947
16,1.3826702684375412,2.5311738967538218,70.76923076923077,83.07692307692308,1.1654703617095947
17,1.6814436002826014,2.8740218424695536,61.53846153846154,83.07692307692308,1.1654703617095947
18,1.6357388335762295,3.038148993238102,66.15384615384616,83.07692307692308,1.1654703617095947
19,1.3996292800768046,2.5284413089984614,67.6923076923077,83.07692307692308,1.1654703617095947
20,1.4142658265769905,2.7128595814534395,83.07692307692308,83.07692307692308,1.1654703617095947
21,1.5046159302934687,2.823439482727411,66.15384615384616,83.07692307692308,1.1654703617095947
22,1.7013689893357298,3.4485993673720885,72.3076923076923,83.07692307692308,1.1654703617095947
23,1.7054678473912233,3.0234210245133997,58.46153846153846,83.07692307692308,1.1654703617095947
24,1.8335084661524346,2.956927391863748,70.76923076923077,83.07692307692308,1.1654703617095947
25,1.9546133607837326,3.5331227888536945,60.0,83.07692307692308,1.1654703617095947
26,1.6887696883357164,3.1079203308291135,63.07692307692308,83.07692307692308,1.1654703617095947
27,1.5926007767941088,3.209504897008913,69.23076923076923,83.07692307692308,1.1654703617095947
28,1.4066603707929028,2.6642835319312628,78.46153846153847,83.07692307692308,1.1654703617095947
29,1.7664513317405754,3.0595351103834005,63.07692307692308,83.07692307692308,1.1654703617095947
